Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Glioblastoma Multiforme Signaling	5.84	0.303	-1.581	"AKT3,CCND1,CDC42,CDK6,CDKN1A,CTNNB1,E2F1,E2F2,E2F3,E2F5,E2F7,EGF,EGFR,FZD3,FZD4,FZD5,FZD8,FZD9,GSK3B,MAPK1,NF1,NRAS,PDGFA,PDGFB,PDGFRA,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PTEN,RALA,RAP1A,RAP2B,RB1,RHOA,RHOBTB2,RHOH,RND1,SOS1,WNT1,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT9A,WNT9B"
ERK/MAPK Signaling	5.79	0.29	-1.236	"CREB1,CREB3,CREB5,CREBBP,CRK,DUSP9,EIF4E,ELF2,ESR1,ETS1,ETS2,H3-3A/H3-3B,HSPB7,ITGB1,KSR1,MAPK1,MKNK2,NRAS,PAK2,PAK5,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLA2G12A,PLA2G2A,PLA2G2F,PLA2G4E,PLA2G4F,PPARG,PPP1CB,PPP1CC,PPP1R3C,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PXN,RALA,RAP1A,RAP2B,RPS6KA5,SOS1,SRF,STAT3,YWHAG"
Cell Cycle Regulation by BTG Family Proteins	5.6	0.486	-1.897	"BTG1,BTG2,CCND1,CCNE2,CNOT7,E2F1,E2F2,E2F3,E2F5,E2F7,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,RB1"
G-Protein Coupled Receptor Signaling	5.58	0.265	NaN	"ADCY2,ADCY3,ADCY5,ADRA1D,ADRA2A,AKT3,APEX1,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CHRM2,CNR1,CREB1,CREB3,CREB5,CREBBP,DRD2,DUSP9,FICD,GABBR2,GDPD1,GNAI2,GNAI3,GNAQ,GPR17,GRM5,HRH1,HTR1D,HTR2A,LHCGR,LPAR1,MAPK1,MPPED2,NAPEPLD,NFKBIB,NFKBIE,NRAS,PDE3A,PDE3B,PDE4D,PDE5A,PDE6C,PDE7A,PDE7B,PDE8B,PDE9A,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PTGIR,PTH1R,RALA,RAP1A,RAP2B,RASA1,RGS18,SOS1,STAT3,SYNGAP1,VIPR1"
Hypoxia Signaling in the Cardiovascular System	5.55	0.378	-0.302	"ARNT,ATM,CREB1,CREB3,CREB5,CREBBP,CSNK1D,EDN1,LDHA,NFKBIB,NFKBIE,PTEN,SLC2A4,UBE2B,UBE2D2,UBE2E1,UBE2F,UBE2G1,UBE2H,UBE2I,UBE2J1,UBE2K,UBE2L6,UBE2Q1,UBE2V1,UBE2W,UBE2Z,VEGFA"
PEDF Signaling	5.55	0.366	-1.134	"AKT3,ARHGAP22,BDNF,CASP8,GDNF,HNF1A,HNF1B,MAPK1,MAPK14,NFKBIB,NFKBIE,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPARG,RALA,RAP1A,RAP2B,RHOA,ROCK1,ROCK2,SRF,TCF12,TCF4,TCF7,TCF7L1,ZEB1"
Growth Hormone Signaling	5.43	0.38	0	"CSH1/CSH2,CSHL1,GH2,GHR,IRS1,JAK2,MAPK1,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PRKD1,RPS6KA2,RPS6KA3,RPS6KA5,RPS6KA6,RPS6KB2,RPS6KC1,SLC2A4,SOCS6,SOCS7,SRF,STAT3,STAT5B"
ERK5 Signaling	5.29	0.375	-1.732	"CREB1,CREB3,CREB5,CREBBP,EGF,EGFR,ELK4,FOXO3,GAB1,GNA12,GNAQ,MAP3K2,MAP3K3,MEF2A,MEF2C,NRAS,RALA,RAP1A,RAP2B,RPS6KA2,RPS6KA3,RPS6KA5,RPS6KA6,RPS6KB2,RPS6KC1,WNK1,YWHAG"
Role of NFAT in Cardiac Hypertrophy	5.28	0.276	-1.131	"ADCY2,ADCY3,ADCY5,AKT3,CACNA1C,CACNA2D1,CACNB4,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,CALM1 (includes others),CAMK2A,CAMK2B,CAMK2D,CAMK2G,CSNK1A1,GNAI2,GNAI3,GNAQ,GNG10,GNG12,GNG13,GNG4,GSK3B,HDAC5,HDAC8,IL11,MAP2K6,MAP3K7,MAPK1,MAPK10,MAPK14,MAPK8,MEF2A,MEF2C,NKX2-5,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PPP3R1,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,RALA,RAP1A,RAP2B,SLC8A1,SOS1"
Glioma Signaling	5.21	0.327	-0.784	"AKT3,CALM1 (includes others),CAMK2A,CAMK2B,CAMK2D,CAMK2G,CCND1,CDK6,CDKN1A,E2F1,E2F2,E2F3,E2F5,E2F7,EGF,EGFR,MAPK1,NRAS,PA2G4,PDGFA,PDGFB,PDGFRA,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PRKD1,PTEN,RALA,RAP1A,RAP2B,RB1,SOS1,TGFA"
Melanocyte Development and Pigmentation Signaling	5.11	0.34	-2.121	"ADCY2,ADCY3,ADCY5,CREB1,CREB3,CREB5,CREBBP,CRK,KIT,MAPK1,MITF,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,RALA,RAP1A,RAP2B,RPS6KA2,RPS6KA3,RPS6KA5,RPS6KA6,RPS6KB2,RPS6KC1,SOS1"
Senescence Pathway	5.1	0.258	-1.068	"ACVR1B,ACVR1C,ACVR2A,ACVR2B,AKT3,ASXL1,ASXL2,ASXL3,ATM,BMPR2,CACNA1C,CALM1 (includes others),CAPN10,CAPN8,CCND1,CDK6,CDKN1A,CREBBP,E2F1,E2F2,E2F3,E2F5,E2F7,EED,EIF4E,ELF2,ETS1,ETS2,FOXO3,HIPK2,MAP2K6,MAP3K7,MAPK1,MAPK14,MAPK6,NF1,NFAT5,NFATC2,NFATC3,NRAS,PDHB,PHF19,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PML,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PPP3R1,PTEN,RALA,RAP1A,RAP2B,RASSF5,RB1,RPS6KA5,SMAD1,SMAD2,SMAD3,SMAD5,SMAD6,SMAD7,TGFBR3,TMEM173"
GM-CSF Signaling	5.03	0.371	-0.2	"AKT3,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CCND1,CISH,ETS1,HCK,JAK2,MAPK1,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPP3R1,PRKCB,RACK1,RALA,RAP1A,RAP2B,SOS1,STAT3,STAT5B"
Role of Tissue Factor in Cancer	4.95	0.316	NaN	"AKT3,CDC42,CFL2,CSF1,EGFR,EIF4E,F2RL1,F7,FGB,FGG,FRK,GNA12,GNAQ,HBEGF,HCK,ITGB1,JAK2,LIMK1,MAPK1,MAPK14,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PTEN,RALA,RAP1A,RAP2B,RPS6KA2,RPS6KA3,RPS6KA5,RPS6KA6,STAT5B,VEGFA"
NGF Signaling	4.82	0.316	-2.744	"AKT3,CDC42,CREB1,CREB3,CREB5,CREBBP,CRK,GAB1,MAP3K12,MAP3K2,MAP3K3,MAP3K7,MAP3K9,MAPK1,MAPK10,MAPK8,NRAS,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,RHOA,ROCK1,ROCK2,RPS6KA2,RPS6KA3,RPS6KA5,RPS6KA6,RPS6KB2,RPS6KC1,SOS1"
FLT3 Signaling in Hematopoietic Progenitor Cells	4.8	0.35	-2.268	"AKT3,CBL,CREB1,CREB3,CREB5,CREBBP,EIF4E,GAB2,MAPK1,MAPK14,NRAS,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,RPS6KA2,RPS6KA3,RPS6KA5,RPS6KA6,SOS1,STAT3,STAT4,STAT5B"
Endocannabinoid Neuronal Synapse Pathway	4.76	0.305	-1.761	"ADCY2,ADCY3,ADCY5,CACNA1C,CACNA2D1,CACNB4,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,CNR1,DAGLA,GNAI2,GNAI3,GNAQ,GRIA1,GRIN2B,GRINA,GRM5,KCNJ3,KCNJ6,MAPK1,MAPK10,MAPK14,MAPK6,MAPK8,NAPEPLD,PLCB1,PLCB4,PPP3R1,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PTGS2,RIMS1,TRPV1"
Gap Junction Signaling	4.74	0.273	NaN	"ADCY2,ADCY3,ADCY5,AKT3,CSNK1A1,CSNK1D,CSNK1G1,CSNK1G3,CTNNB1,DBN1,DRD2,EGF,EGFR,GAD1,GJA3,GJA5,GNAI2,GNAI3,GNAQ,GRIA1,GRIK2,GUCY1A2,GUCY1B1,HTR2A,LPAR1,MAP3K2,MAPK1,NRAS,NT5C,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PPP3R1,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,PRKG1,RALA,RAP1A,RAP2B,SLC39A7,SOS1,SP1,TJP1,TJP2,TUBA4A"
Endocannabinoid Developing Neuron Pathway	4.73	0.313	-1.976	"ADCY2,ADCY3,ADCY5,AKT3,CCND1,CNR1,CREB1,CREB3,CREB5,CREBBP,CTNNB1,GNAI2,GNAI3,GSK3B,MAP2K6,MAPK1,MAPK10,MAPK14,MAPK6,MAPK8,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,RALA,RAP1A,RAP2B,RHOA,STAT3"
Apelin Endothelial Signaling Pathway	4.73	0.313	-1.667	"ADCY2,ADCY3,ADCY5,AKT3,ANGPT1,APLN,ARNT,CALM1 (includes others),GNAI2,GNAI3,HDAC5,MAPK1,MAPK10,MAPK8,MEF2A,MEF2C,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PRKAA2,PRKAB2,PRKAG1,PRKCB,PRKD1,RALA,RAP1A,RAP2B,RPS6KB2,SMAD3,SP1,VCAM1"
Type II Diabetes Mellitus Signaling	4.73	0.296	0.784	"ACSL1,ACSL4,ACSL5,ACSL6,ADIPOR2,AKT3,CACNA1C,CACNA2D1,CACNB4,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,CD36,INSR,IRS1,MAP3K7,MAPK1,MAPK10,MAPK8,NFKBIB,NFKBIE,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PKLR,PKM,PPARG,PRKAA2,PRKAB2,PRKAG1,PRKCB,PRKD1,SLC27A4,SLC2A2,SLC2A4,SOCS6,SOCS7"
Breast Cancer Regulation by Stathmin1	4.68	0.22	NaN	"ACKR3,ACKR4,ADCYAP1R1,ADGRB3,ADGRD1,ADGRG2,ADGRG3,ADGRL1,ADRA1D,ADRA2A,ARHGEF11,ARHGEF17,ARHGEF2,ARHGEF5,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CCKAR,CCND1,CCND2,CCR10,CDK6,CELSR2,CELSR3,CHRM2,CNR1,CREB1,CREB3,CREB5,CREBBP,CYSLTR1,CYSLTR2,DRD2,E2F1,E2F2,E2F3,E2F5,E2F7,EGF,F2RL1,FGF2,FZD3,FZD4,FZD5,FZD8,FZD9,GABBR2,GNAQ,GNG10,GNG12,GNG13,GNG4,GPR12,GPR135,GPR137B,GPR137C,GPR155,GPR17,GPR173,GPR176,GPR27,GPR37L1,GPR39,GPR4,GPR50,GPR62,GPR63,GPR82,GRM5,HRH1,HTR1D,HTR2A,LHCGR,LPAR1,LPAR2,MAPK1,NPFFR2,NPY4R/NPY4R2,NRAS,OXGR1,PDGFB,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PPP1CB,PPP1CC,PPP1R3C,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,PTGIR,PTH1R,RALA,RAP1A,RAP2B,RHOA,RLIM,RPS6KA3,RXFP3,S1PR5,SCTR,SIVA1,SLC52A2,SOS1,STAT3,STMN1,SUCNR1,TACR1,TACR3,TGFA,TUBA4A,UHMK1,VEGFA,VIPR1"
Telomerase Signaling	4.66	0.318	-0.577	"AKT3,CDKN1A,E2F1,EGF,EGFR,ELF2,ETS1,ETS2,HDAC5,HDAC8,IL2RA,IL2RB,MAPK1,NRAS,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,RALA,RAP1A,RAP2B,RB1,SOS1,SP1,TEP1"
Netrin Signaling	4.64	0.369	-2.041	"ABLIM3,CACNA1C,CACNA2D1,CACNB4,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,DCC,ENAH,NFAT5,NFATC2,NFATC3,NTN1,PPP3R1,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKG1,UNC5B,UNC5D"
PPAR?/RXR? Activation	4.64	0.274	1.64	"ACVR1B,ACVR1C,ACVR2A,ACVR2B,ADCY2,ADCY3,ADCY5,ADIPOR2,BMPR2,CD36,CHD5,CLOCK,CREBBP,GHR,GNAQ,GPD2,IL1RAPL1,INSR,IRS1,JAK2,MAP2K6,MAP3K7,MAP4K4,MAPK1,MAPK14,MAPK8,MED1,MEF2C,NCOA3,NFKBIB,NFKBIE,NR2C2,NRAS,PLCB1,PLCB4,PPARGC1A,PRKAA2,PRKAB2,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,RALA,RAP1A,RAP2B,SMAD2,SMAD3,SOS1,STAT5B,TGFBR3"
Osteoarthritis Pathway	4.53	0.265	-0.429	"ACAN,ADAMTS4,BMP2,BMPR2,CASP10,CASP5,CASP8,CCN4,CREB1,CREB3,CREB5,CREBBP,CTNNA2,CTNNB1,FGF2,FOXO3,FZD3,FZD4,FZD5,FZD8,FZD9,GDF5,GLIS2,HMGB1,HNF1A,IHH,IL1RAPL1,ITGB1,MEF2C,NAMPT,OCRL,PPARG,PPARGC1A,PRG4,PRKAA2,PRKAB2,PRKAG1,PTGS2,PTH1R,PTHLH,RBPJ,RUNX2,SMAD1,SMAD2,SMAD3,SMAD5,SMAD6,SMAD7,SOX9,SP1,SP7,TCF4,TCF7,TCF7L1,VEGFA,WNT3A"
Insulin Receptor Signaling	4.52	0.293	-0.973	"AKT3,ASIC1,ASIC2,CBL,CRK,EIF2B2,EIF4E,EPM2A,FOXO3,GAB1,GSK3B,INSR,IRS1,JAK2,MAPK1,MAPK8,NRAS,OCRL,PDE3B,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPP1CB,PPP1CC,PPP1R3C,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PTEN,RALA,RAP1A,RAP2B,RPS6KB2,SLC2A4,SOS1,STX4"
G Beta Gamma Signaling	4.5	0.303	-1.808	"ADCY2,AKT3,CACNA1C,CACNA2D1,CACNB4,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,CDC42,EGFR,GNA12,GNAI2,GNAI3,GNAQ,GNG10,GNG12,GNG13,GNG4,HBEGF,KCNJ3,KCNJ6,MAPK1,NRAS,PDPK1,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,RALA,RAP1A,RAP2B,SOS1"
CREB Signaling in Neurons	4.47	0.266	-2.271	"ADCY2,ADCY3,ADCY5,AKT3,CACNA1C,CACNA2D1,CACNB4,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,CALM1 (includes others),CAMK2A,CAMK2B,CAMK2D,CAMK2G,CREB1,CREB3,CREB5,CREBBP,GNA12,GNAI2,GNAI3,GNAQ,GNG10,GNG12,GNG13,GNG4,GRIA1,GRIK2,GRIN2B,GRM5,GTF2B,MAPK1,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,POLR2F,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,RALA,RAP1A,RAP2B,SOS1"
PCP pathway	4.25	0.367	-2.4	"DAAM1,FZD3,FZD4,FZD5,FZD8,FZD9,MAPK10,MAPK8,NDP,PRICKLE1,RHOA,ROCK1,ROCK2,RSPO3,WNT1,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT9A,WNT9B"
RAN Signaling	4.24	0.588	-1.897	"CSE1L,KPNA1,KPNA2,KPNA3,KPNA4,KPNA5,RAN,RANBP1,TNPO1,XPO1"
CDK5 Signaling	4.16	0.306	0.18	"ADCY2,ADCY3,ADCY5,BDNF,CDK5,CDK5R1,FOSB,ITGB1,MAPK1,MAPK10,MAPK14,MAPK6,MAPK8,NRAS,PPP1CB,PPP1CC,PPP1R1B,PPP1R3C,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,RALA,RAP1A,RAP2B"
Corticotropin Releasing Hormone Signaling	4.14	0.283	-2.058	"ADCY2,ADCY3,ADCY5,ARPC5,BDNF,CACNA1C,CACNA2D1,CACNB4,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,CALM1 (includes others),CNR1,CREB1,CREB3,CREB5,CREBBP,GAD1,GNAI2,GNAI3,GNAQ,GUCY1A2,GUCY1B1,MAPK1,MAPK14,MEF2A,MEF2C,NT5C,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,PTGS2,RAP1A,SLC39A7,VEGFA"
IGF-1 Signaling	4.12	0.308	-1.3	"AKT3,CSNK2A1,FOXO3,IGFBP5,IRS1,JAK2,MAPK1,MAPK8,NRAS,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PXN,RALA,RAP1A,RAP2B,RASA1,RPS6KB2,SOCS6,SOCS7,SOS1,SRF,STAT3,YWHAG"
PI3K/AKT Signaling	4.04	0.269	0.169	"AKT3,CCND1,CDKN1A,CTNNB1,EIF4E,EPM2A,FOXO3,GAB1,GAB2,GHR,GSK3B,IFNLR1,IL15RA,IL22RA2,IL2RA,IL2RB,ITGB1,JAK2,MAPK1,MAPK8IP1,MCL1,NFKBIB,NFKBIE,NRAS,OCRL,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PTEN,PTGS2,RALA,RAP1A,RAP2B,RHEB,RPS6KB2,SOS1,YWHAG"
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	4.01	0.391	NaN	"AQR,BMI1,CDX2,ETS2,FOXA1,FOXA2,HOXB1,IGF2BP1,JARID2,KDM5B,MEF2A,NR2F2,PHC3,RARA,RB1,REST,SALL4,SH3GLB1"
Amyloid Processing	4	0.38	0	"AKT3,APH1A,APP,BACE2,CAPN10,CAPN8,CDK5,CDK5R1,CSNK1A1,CSNK1D,CSNK2A1,GSK3B,MAPK1,MAPK14,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B"
Cardiac Hypertrophy Signaling	3.99	0.25	-2.263	"ADCY2,ADCY3,ADCY5,ADRA1D,ADRA2A,CACNA1C,CALM1 (includes others),CDC42,CREB1,CREBBP,EIF2B2,EIF4E,GNA12,GNAI2,GNAI3,GNAQ,GNG10,GNG12,GNG13,GNG4,GSK3B,IRS1,MAP2K6,MAP3K12,MAP3K2,MAP3K3,MAP3K7,MAP3K9,MAPK1,MAPK10,MAPK14,MAPK8,MEF2A,MEF2C,NKX2-5,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PPP3R1,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,RALA,RAP1A,RAP2B,RHOA,RHOBTB2,RHOH,RND1,ROCK1,ROCK2,SOS1,SRF"
CCR3 Signaling in Eosinophils	3.96	0.29	0	"CALM1 (includes others),CFL2,GNAI2,GNAI3,GNG10,GNG12,GNG13,GNG4,LIMK1,MAPK1,MAPK14,MPRIP,NRAS,PAK2,PAK5,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLA2G12A,PLA2G2A,PLA2G2F,PLA2G4E,PLA2G4F,PLCB1,PLCB4,PPP1CB,PRKCB,PRKD1,RALA,RAP1A,RAP2B,RHOA,ROCK1,ROCK2"
Renal Cell Carcinoma Signaling	3.89	0.325	-2.828	"AKT3,ARNT,CDC42,CREBBP,CRK,ETS1,GAB1,MAPK1,NRAS,PAK2,PAK5,PDGFB,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,RPS27A,SLC2A1,SOS1,TGFA,UBD,VEGFA"
Ephrin A Signaling	3.87	0.383	NaN	"ADAM10,CDC42,CFL2,EFNA2,EFNA4,EPHA4,EPHA5,EPHA7,EPHA8,LIMK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RHOA,ROCK1,ROCK2"
GDNF Family Ligand-Receptor Interactions	3.85	0.329	-2.132	"CDC42,CREB1,DOK6,DOK7,FRS2,GAB1,GDNF,IRS1,MAPK1,MAPK10,MAPK8,NRAS,PDLIM7,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PSPN,RALA,RAP1A,RAP2B,RASA1,RET,SOS1"
Basal Cell Carcinoma Signaling	3.83	0.333	-1.147	"BMP10,BMP2,BMP3,CTNNB1,FZD3,FZD4,FZD5,FZD8,FZD9,GLIS2,GSK3B,HHIP,HNF1A,TCF4,TCF7,TCF7L1,WNT1,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT9A,WNT9B"
Cyclins and Cell Cycle Regulation	3.79	0.321	-0.853	"ATM,CCNA2,CCND1,CCND2,CCNE2,CDK6,CDKN1A,E2F1,E2F2,E2F3,E2F5,E2F7,GSK3B,HDAC5,HDAC8,MYT1,PA2G4,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,RB1,WEE1"
Androgen Signaling	3.76	0.279	-0.853	"CACNA1C,CACNA2D1,CACNB4,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,CALM1 (includes others),CCND1,CREBBP,ERCC2,GNA12,GNAI2,GNAI3,GNAQ,GNG10,GNG12,GNG13,GNG4,GTF2B,GTF2H1,GTF2H2,GTF2H5,KAT7,MAPK1,MNAT1,NCOA1,POLR2F,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,SMAD3,TAF2"
Inhibition of ARE-Mediated mRNA Degradation Pathway	3.76	0.287	1.183	"AGO1,AGO2,AGO3,AGO4,AKT3,CNOT2,CNOT7,DCP1A,DCP2,MAP3K7,MAPK1,MAPK14,MAPK6,PAPOLB,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PSME3,TIA1,TNFSF10,TNFSF11,TNFSF12-TNFSF13,TNFSF13,TNFSF9,YWHAG,ZFP36L2"
Non-Small Cell Lung Cancer Signaling	3.72	0.329	-1.147	"AKT3,CCND1,CDK6,E2F1,EGF,EGFR,FOXO3,MAPK1,NRAS,PA2G4,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,RARB,RASSF5,RB1,SOS1,TGFA"
mTOR Signaling	3.71	0.252	-1.622	"AKT3,ATG13,CDC42,EIF3H,EIF3I,EIF3J,EIF3M,EIF4A1,EIF4E,EIF4G1,INSR,IRS1,MAPK1,NAPEPLD,NRAS,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLD5,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PRKAA2,PRKAB2,PRKAG1,PRKCB,PRKD1,RALA,RAP1A,RAP2B,RHEB,RHOA,RHOBTB2,RHOH,RICTOR,RND1,RPS16,RPS24,RPS27A,RPS6KA2,RPS6KA3,RPS6KA5,RPS6KA6,RPS6KB2,RPS6KC1,VEGFA"
Pancreatic Adenocarcinoma Signaling	3.69	0.294	-1.46	"AKT3,CCND1,CDC42,CDKN1A,E2F1,E2F2,E2F3,E2F5,E2F7,EGF,EGFR,HBEGF,JAK2,MAPK1,MAPK10,MAPK8,NAPEPLD,PA2G4,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLD5,PTGS2,RALA,RB1,SMAD2,SMAD3,STAT3,TGFA,VEGFA"
Prostate Cancer Signaling	3.68	0.308	NaN	"AKT3,CCND1,CCNE2,CDKN1A,CREB1,CREB3,CREB5,CREBBP,CTNNB1,E2F1,GSK3B,MAPK1,NFKBIB,NFKBIE,NRAS,PA2G4,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PTEN,RALA,RAP1A,RAP2B,RB1,SOS1"
Role of Wnt/GSK-3? Signaling in the Pathogenesis of Influenza	3.65	0.321	-1.291	"CSNK1A1,CSNK1D,CSNK1G1,CSNK1G3,CTNNB1,FZD3,FZD4,FZD5,FZD8,FZD9,GSK3B,HNF1A,NCOA1,NCOA3,TCF4,TCF7,TCF7L1,WNT1,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT9A,WNT9B"
CNTF Signaling	3.62	0.351	-1.342	"CNTF,JAK2,LIFR,MAPK1,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,RPS6KA2,RPS6KA3,RPS6KA5,RPS6KA6,RPS6KB2,SOS1,STAT3"
Thyroid Cancer Signaling	3.56	0.316	-1	"AKT3,BDNF,CCND1,CTNNB1,GDNF,GSK3B,HNF1A,INSR,IRS1,MAPK1,NRAS,NTRK3,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PTEN,RALA,RAP1A,RAP2B,RET,TCF4,TCF7,TCF7L1"
