Human Gene Symbol	Term	Group1	Group2	Null Value	Estimate	Lower Confidence Interval	Upper Confidence Interval	Adjusted P Value	Significance
BCAS1	Tissue	BRN_SN	BRN_SPC	0	495.8793	408.2457	583.5130	0.0000	****
BTG1	Tissue	BRN_ACC	BRN_AMY	0	1.3162	-11.0579	13.6902	1.0000	ns
BTG1	Tissue	BRN_ACC	BRN_CAU	0	-1.7760	-13.1866	9.6346	1.0000	ns
BTG1	Tissue	BRN_ACC	BRN_CB_a	0	109.4386	97.8365	121.0407	0.0000	****
BTG1	Tissue	BRN_ACC	BRN_CTX_a	0	0.4154	-11.0562	11.8871	1.0000	ns
BTG1	Tissue	BRN_ACC	BRN_HIPP	0	0.5191	-11.3830	12.4211	1.0000	ns
BTG1	Tissue	BRN_ACC	BRN_HYP	0	6.0779	-5.5242	17.6800	0.8600	ns
BTG1	Tissue	BRN_ACC	BRN_NAC	0	3.3382	-7.9577	14.6341	0.9980	ns
BTG1	Tissue	BRN_ACC	BRN_PTRY	0	48.6209	37.7037	59.5381	0.0000	****
BTG1	Tissue	BRN_ACC	BRN_PUT	0	-3.8164	-15.7184	8.0857	0.9960	ns
BTG1	Tissue	BRN_ACC	BRN_SN	0	-1.9467	-15.2706	11.3772	1.0000	ns
BTG1	Tissue	BRN_ACC	BRN_SPC	0	24.9836	13.1621	36.8052	0.0000	****
BTG1	Tissue	BRN_AMY	BRN_CAU	0	-3.0922	-14.8179	8.6335	0.9990	ns
BTG1	Tissue	BRN_AMY	BRN_CB_a	0	108.1224	96.2102	120.0346	0.0000	****
BTG1	Tissue	BRN_AMY	BRN_CTX_a	0	-0.9008	-12.6859	10.8844	1.0000	ns
BTG1	Tissue	BRN_AMY	BRN_HIPP	0	-0.7971	-13.0016	11.4074	1.0000	ns
BTG1	Tissue	BRN_AMY	BRN_HYP	0	4.7618	-7.1504	16.6739	0.9780	ns
BTG1	Tissue	BRN_AMY	BRN_NAC	0	2.0221	-9.5921	13.6362	1.0000	ns
BTG1	Tissue	BRN_AMY	BRN_PTRY	0	47.3047	36.0586	58.5509	0.0000	****
BTG1	Tissue	BRN_AMY	BRN_PUT	0	-5.1325	-17.3371	7.0720	0.9680	ns
BTG1	Tissue	BRN_AMY	BRN_SN	0	-3.2629	-16.8577	10.3319	1.0000	ns
BTG1	Tissue	BRN_AMY	BRN_SPC	0	23.6675	11.5414	35.7935	0.0000	****
BTG1	Tissue	BRN_CAU	BRN_CB_a	0	111.2146	100.3066	122.1226	0.0000	****
BTG1	Tissue	BRN_CAU	BRN_CTX_a	0	2.1914	-8.5777	12.9606	1.0000	ns
BTG1	Tissue	BRN_CAU	BRN_HIPP	0	2.2951	-8.9314	13.5216	1.0000	ns
BTG1	Tissue	BRN_CAU	BRN_HYP	0	7.8540	-3.0540	18.7620	0.4350	ns
BTG1	Tissue	BRN_CAU	BRN_NAC	0	5.1143	-5.4675	15.6960	0.9150	ns
BTG1	Tissue	BRN_CAU	BRN_PTRY	0	50.3969	40.2205	60.5734	0.0000	****
BTG1	Tissue	BRN_CAU	BRN_PUT	0	-2.0403	-13.2669	9.1862	1.0000	ns
BTG1	Tissue	BRN_CAU	BRN_SN	0	-0.1707	-12.8948	12.5534	1.0000	ns
BTG1	Tissue	BRN_CAU	BRN_SPC	0	26.7597	15.6185	37.9008	0.0000	****
BTG1	Tissue	BRN_CB_a	BRN_CTX_a	0	-109.0232	-119.9950	-98.0513	0.0000	****
BTG1	Tissue	BRN_CB_a	BRN_HIPP	0	-108.9195	-120.3406	-97.4984	0.0000	****
BTG1	Tissue	BRN_CB_a	BRN_HYP	0	-103.3606	-114.4688	-92.2525	0.0000	****
BTG1	Tissue	BRN_CB_a	BRN_NAC	0	-106.1003	-116.8883	-95.3124	0.0000	****
BTG1	Tissue	BRN_CB_a	BRN_PTRY	0	-60.8177	-71.2084	-50.4269	0.0000	****
BTG1	Tissue	BRN_CB_a	BRN_PUT	0	-113.2549	-124.6761	-101.8338	0.0000	****
BTG1	Tissue	BRN_CB_a	BRN_SN	0	-111.3853	-124.2814	-98.4892	0.0000	****
BTG1	Tissue	BRN_CB_a	BRN_SPC	0	-84.4549	-95.7921	-73.1177	0.0000	****
BTG1	Tissue	BRN_CTX_a	BRN_HIPP	0	0.1037	-11.1849	11.3923	1.0000	ns
BTG1	Tissue	BRN_CTX_a	BRN_HYP	0	5.6625	-5.3093	16.6344	0.8720	ns
BTG1	Tissue	BRN_CTX_a	BRN_NAC	0	2.9228	-7.7247	13.5704	0.9990	ns
BTG1	Tissue	BRN_CTX_a	BRN_PTRY	0	48.2055	37.9606	58.4504	0.0000	****
BTG1	Tissue	BRN_CTX_a	BRN_PUT	0	-4.2318	-15.5204	7.0568	0.9870	ns
BTG1	Tissue	BRN_CTX_a	BRN_SN	0	-2.3621	-15.1410	10.4168	1.0000	ns
BTG1	Tissue	BRN_CTX_a	BRN_SPC	0	24.5682	13.3645	35.7719	0.0000	****
BTG1	Tissue	BRN_HIPP	BRN_HYP	0	5.5589	-5.8623	16.9800	0.9110	ns
BTG1	Tissue	BRN_HIPP	BRN_NAC	0	2.8192	-8.2908	13.9291	1.0000	ns
BTG1	Tissue	BRN_HIPP	BRN_PTRY	0	48.1018	37.3772	58.8265	0.0000	****
BTG1	Tissue	BRN_HIPP	BRN_PUT	0	-4.3354	-16.0612	7.3903	0.9880	ns
BTG1	Tissue	BRN_HIPP	BRN_SN	0	-2.4658	-15.6324	10.7009	1.0000	ns
BTG1	Tissue	BRN_HIPP	BRN_SPC	0	24.4646	12.8205	36.1086	0.0000	****
BTG1	Tissue	BRN_HYP	BRN_NAC	0	-2.7397	-13.5277	8.0483	1.0000	ns
BTG1	Tissue	BRN_HYP	BRN_PTRY	0	42.5430	32.1523	52.9337	0.0000	****
BTG1	Tissue	BRN_HYP	BRN_PUT	0	-9.8943	-21.3154	1.5268	0.1660	ns
BTG1	Tissue	BRN_HYP	BRN_SN	0	-8.0246	-20.9207	4.8715	0.6660	ns
BTG1	Tissue	BRN_HYP	BRN_SPC	0	18.9057	7.5685	30.2429	0.0000	****
BTG1	Tissue	BRN_NAC	BRN_PTRY	0	45.2827	35.2350	55.3304	0.0000	****
BTG1	Tissue	BRN_NAC	BRN_PUT	0	-7.1546	-18.2645	3.9554	0.6160	ns
BTG1	Tissue	BRN_NAC	BRN_SN	0	-5.2849	-17.9063	7.3364	0.9690	ns
BTG1	Tissue	BRN_NAC	BRN_SPC	0	21.6454	10.6217	32.6691	0.0000	****
BTG1	Tissue	BRN_PTRY	BRN_PUT	0	-52.4373	-63.1619	-41.7126	0.0000	****
BTG1	Tissue	BRN_PTRY	BRN_SN	0	-50.5676	-62.8512	-38.2841	0.0000	****
BTG1	Tissue	BRN_PTRY	BRN_SPC	0	-23.6373	-34.2725	-13.0020	0.0000	****
BTG1	Tissue	BRN_PUT	BRN_SN	0	1.8697	-11.2970	15.0363	1.0000	ns
BTG1	Tissue	BRN_PUT	BRN_SPC	0	28.8000	17.1560	40.4440	0.0000	****
BTG1	Tissue	BRN_SN	BRN_SPC	0	26.9303	13.8364	40.0243	0.0000	****
CACYBP	Tissue	BRN_ACC	BRN_AMY	0	-9.7516	-30.2671	10.7639	0.9240	ns
CACYBP	Tissue	BRN_ACC	BRN_CAU	0	-9.0700	-27.9882	9.8481	0.9190	ns
CACYBP	Tissue	BRN_ACC	BRN_CB_a	0	27.7436	8.5080	46.9792	0.0002	***
CACYBP	Tissue	BRN_ACC	BRN_CTX_a	0	23.3068	4.2874	42.3262	0.0037	**
CACYBP	Tissue	BRN_ACC	BRN_HIPP	0	-14.0638	-33.7968	5.6692	0.4520	ns
CACYBP	Tissue	BRN_ACC	BRN_HYP	0	3.8784	-15.3572	23.1141	1.0000	ns
CACYBP	Tissue	BRN_ACC	BRN_NAC	0	0.1812	-18.5468	18.9092	1.0000	ns
CACYBP	Tissue	BRN_ACC	BRN_PTRY	0	-10.6549	-28.7550	7.4452	0.7410	ns
CACYBP	Tissue	BRN_ACC	BRN_PUT	0	-19.3833	-39.1163	0.3497	0.0595	ns
CACYBP	Tissue	BRN_ACC	BRN_SN	0	-14.8689	-36.9592	7.2214	0.5460	ns
CACYBP	Tissue	BRN_ACC	BRN_SPC	0	8.2358	-11.3637	27.8353	0.9680	ns
CACYBP	Tissue	BRN_AMY	BRN_CAU	0	0.6815	-18.7591	20.1222	1.0000	ns
CACYBP	Tissue	BRN_AMY	BRN_CB_a	0	37.4952	17.7455	57.2449	0.0000	****
CACYBP	Tissue	BRN_AMY	BRN_CTX_a	0	33.0584	13.5192	52.5975	0.0000	****
CACYBP	Tissue	BRN_AMY	BRN_HIPP	0	-4.3122	-24.5466	15.9222	1.0000	ns
CACYBP	Tissue	BRN_AMY	BRN_HYP	0	13.6300	-6.1197	33.3797	0.5050	ns
CACYBP	Tissue	BRN_AMY	BRN_NAC	0	9.9328	-9.3228	29.1884	0.8730	ns
CACYBP	Tissue	BRN_AMY	BRN_PTRY	0	-0.9033	-19.5488	17.7422	1.0000	ns
CACYBP	Tissue	BRN_AMY	BRN_PUT	0	-9.6317	-29.8662	10.6027	0.9230	ns
CACYBP	Tissue	BRN_AMY	BRN_SN	0	-5.1173	-27.6567	17.4221	1.0000	ns
CACYBP	Tissue	BRN_AMY	BRN_SPC	0	17.9874	-2.1169	38.0917	0.1320	ns
CACYBP	Tissue	BRN_CAU	BRN_CB_a	0	36.8137	18.7288	54.8985	0.0000	****
CACYBP	Tissue	BRN_CAU	BRN_CTX_a	0	32.3768	14.5222	50.2315	0.0000	****
CACYBP	Tissue	BRN_CAU	BRN_HIPP	0	-4.9937	-23.6067	13.6192	0.9990	ns
CACYBP	Tissue	BRN_CAU	BRN_HYP	0	12.9485	-5.1363	31.0333	0.4440	ns
CACYBP	Tissue	BRN_CAU	BRN_NAC	0	9.2513	-8.2927	26.7952	0.8550	ns
CACYBP	Tissue	BRN_CAU	BRN_PTRY	0	-1.5849	-18.4569	15.2872	1.0000	ns
CACYBP	Tissue	BRN_CAU	BRN_PUT	0	-10.3133	-28.9262	8.2997	0.8090	ns
CACYBP	Tissue	BRN_CAU	BRN_SN	0	-5.7989	-26.8947	15.2970	0.9990	ns
CACYBP	Tissue	BRN_CAU	BRN_SPC	0	17.3058	-1.1656	35.7773	0.0912	ns
CACYBP	Tissue	BRN_CB_a	BRN_CTX_a	0	-4.4368	-22.6276	13.7539	1.0000	ns
CACYBP	Tissue	BRN_CB_a	BRN_HIPP	0	-41.8074	-60.7430	-22.8718	0.0000	****
CACYBP	Tissue	BRN_CB_a	BRN_HYP	0	-23.8652	-42.2819	-5.4485	0.0014	**
CACYBP	Tissue	BRN_CB_a	BRN_NAC	0	-27.5624	-45.4483	-9.6766	0.0000	****
CACYBP	Tissue	BRN_CB_a	BRN_PTRY	0	-38.3985	-55.6258	-21.1713	0.0000	****
CACYBP	Tissue	BRN_CB_a	BRN_PUT	0	-47.1269	-66.0625	-28.1914	0.0000	****
CACYBP	Tissue	BRN_CB_a	BRN_SN	0	-42.6125	-63.9936	-21.2315	0.0000	****
CACYBP	Tissue	BRN_CB_a	BRN_SPC	0	-19.5078	-38.3043	-0.7114	0.0339	*
CACYBP	Tissue	BRN_CTX_a	BRN_HIPP	0	-37.3706	-56.0865	-18.6547	0.0000	****
CACYBP	Tissue	BRN_CTX_a	BRN_HYP	0	-19.4283	-37.6191	-1.2376	0.0245	*
CACYBP	Tissue	BRN_CTX_a	BRN_NAC	0	-23.1256	-40.7787	-5.4725	0.0012	**
CACYBP	Tissue	BRN_CTX_a	BRN_PTRY	0	-33.9617	-50.9471	-16.9762	0.0000	****
CACYBP	Tissue	BRN_CTX_a	BRN_PUT	0	-42.6901	-61.4060	-23.9742	0.0000	****
CACYBP	Tissue	BRN_CTX_a	BRN_SN	0	-38.1757	-59.3624	-16.9890	0.0000	****
CACYBP	Tissue	BRN_CTX_a	BRN_SPC	0	-15.0710	-33.6461	3.5041	0.2490	ns
CACYBP	Tissue	BRN_HIPP	BRN_HYP	0	17.9422	-0.9933	36.8778	0.0827	ns
CACYBP	Tissue	BRN_HIPP	BRN_NAC	0	14.2450	-4.1747	32.6647	0.3200	ns
CACYBP	Tissue	BRN_HIPP	BRN_PTRY	0	3.4089	-14.3720	21.1898	1.0000	ns
CACYBP	Tissue	BRN_HIPP	BRN_PUT	0	-5.3195	-24.7601	14.1211	0.9990	ns
CACYBP	Tissue	BRN_HIPP	BRN_SN	0	-0.8051	-22.6347	21.0244	1.0000	ns
CACYBP	Tissue	BRN_HIPP	BRN_SPC	0	22.2996	2.9944	41.6047	0.0090	**
CACYBP	Tissue	BRN_HYP	BRN_NAC	0	-3.6972	-21.5831	14.1886	1.0000	ns
CACYBP	Tissue	BRN_HYP	BRN_PTRY	0	-14.5333	-31.7606	2.6939	0.1970	ns
CACYBP	Tissue	BRN_HYP	BRN_PUT	0	-23.2618	-42.1973	-4.3262	0.0036	**
CACYBP	Tissue	BRN_HYP	BRN_SN	0	-18.7474	-40.1284	2.6337	0.1520	ns
CACYBP	Tissue	BRN_HYP	BRN_SPC	0	4.3573	-14.4391	23.1538	1.0000	ns
CACYBP	Tissue	BRN_NAC	BRN_PTRY	0	-10.8361	-27.4946	5.8224	0.6000	ns
CACYBP	Tissue	BRN_NAC	BRN_PUT	0	-19.5645	-37.9842	-1.1448	0.0261	*
CACYBP	Tissue	BRN_NAC	BRN_SN	0	-15.0501	-35.9756	5.8754	0.4370	ns
CACYBP	Tissue	BRN_NAC	BRN_SPC	0	8.0546	-10.2221	26.3312	0.9540	ns
CACYBP	Tissue	BRN_PTRY	BRN_PUT	0	-8.7284	-26.5093	9.0525	0.9060	ns
CACYBP	Tissue	BRN_PTRY	BRN_SN	0	-4.2140	-24.5795	16.1514	1.0000	ns
CACYBP	Tissue	BRN_PTRY	BRN_SPC	0	18.8907	1.2580	36.5233	0.0236	*
CACYBP	Tissue	BRN_PUT	BRN_SN	0	4.5144	-17.3152	26.3440	1.0000	ns
CACYBP	Tissue	BRN_PUT	BRN_SPC	0	27.6191	8.3140	46.9242	0.0002	***
CACYBP	Tissue	BRN_SN	BRN_SPC	0	23.1047	1.3957	44.8137	0.0255	*
CCDC88C	Tissue	BRN_ACC	BRN_AMY	0	0.5784	-2.4261	3.5830	1.0000	ns
CCDC88C	Tissue	BRN_ACC	BRN_CAU	0	11.7476	8.9770	14.5182	0.0000	****
CCDC88C	Tissue	BRN_ACC	BRN_CB_a	0	-0.6257	-3.4428	2.1914	1.0000	ns
CCDC88C	Tissue	BRN_ACC	BRN_CTX_a	0	0.0551	-2.7303	2.8405	1.0000	ns
CCDC88C	Tissue	BRN_ACC	BRN_HIPP	0	-0.0262	-2.9161	2.8637	1.0000	ns
CCDC88C	Tissue	BRN_ACC	BRN_HYP	0	0.9372	-1.8799	3.7543	0.9950	ns
CCDC88C	Tissue	BRN_ACC	BRN_NAC	0	13.2100	10.4673	15.9528	0.0000	****
CCDC88C	Tissue	BRN_ACC	BRN_PTRY	0	5.7439	3.0932	8.3947	0.0000	****
CCDC88C	Tissue	BRN_ACC	BRN_PUT	0	8.7641	5.8741	11.6540	0.0000	****
CCDC88C	Tissue	BRN_ACC	BRN_SN	0	-0.4513	-3.6865	2.7839	1.0000	ns
CCDC88C	Tissue	BRN_ACC	BRN_SPC	0	1.3570	-1.5134	4.2273	0.9260	ns
CCDC88C	Tissue	BRN_AMY	BRN_CAU	0	11.1691	8.3220	14.0162	0.0000	****
CCDC88C	Tissue	BRN_AMY	BRN_CB_a	0	-1.2041	-4.0965	1.6883	0.9700	ns
CCDC88C	Tissue	BRN_AMY	BRN_CTX_a	0	-0.5233	-3.3849	2.3382	1.0000	ns
CCDC88C	Tissue	BRN_AMY	BRN_HIPP	0	-0.6046	-3.5680	2.3587	1.0000	ns
CCDC88C	Tissue	BRN_AMY	BRN_HYP	0	0.3587	-2.5337	3.2511	1.0000	ns
CCDC88C	Tissue	BRN_AMY	BRN_NAC	0	12.6316	9.8116	15.4516	0.0000	****
CCDC88C	Tissue	BRN_AMY	BRN_PTRY	0	5.1655	2.4348	7.8962	0.0000	****
CCDC88C	Tissue	BRN_AMY	BRN_PUT	0	8.1856	5.2222	11.1490	0.0000	****
CCDC88C	Tissue	BRN_AMY	BRN_SN	0	-1.0297	-4.3307	2.2712	0.9970	ns
CCDC88C	Tissue	BRN_AMY	BRN_SPC	0	0.7785	-2.1658	3.7228	0.9990	ns
CCDC88C	Tissue	BRN_CAU	BRN_CB_a	0	-12.3732	-15.0218	-9.7247	0.0000	****
CCDC88C	Tissue	BRN_CAU	BRN_CTX_a	0	-11.6924	-14.3073	-9.0776	0.0000	****
CCDC88C	Tissue	BRN_CAU	BRN_HIPP	0	-11.7738	-14.4997	-9.0479	0.0000	****
CCDC88C	Tissue	BRN_CAU	BRN_HYP	0	-10.8104	-13.4590	-8.1618	0.0000	****
CCDC88C	Tissue	BRN_CAU	BRN_NAC	0	1.4625	-1.1069	4.0318	0.7810	ns
CCDC88C	Tissue	BRN_CAU	BRN_PTRY	0	-6.0036	-8.4746	-3.5327	0.0000	****
CCDC88C	Tissue	BRN_CAU	BRN_PUT	0	-2.9835	-5.7094	-0.2576	0.0182	*
CCDC88C	Tissue	BRN_CAU	BRN_SN	0	-12.1989	-15.2884	-9.1093	0.0000	****
CCDC88C	Tissue	BRN_CAU	BRN_SPC	0	-10.3906	-13.0958	-7.6854	0.0000	****
CCDC88C	Tissue	BRN_CB_a	BRN_CTX_a	0	0.6808	-1.9833	3.3449	1.0000	ns
CCDC88C	Tissue	BRN_CB_a	BRN_HIPP	0	0.5995	-2.1737	3.3726	1.0000	ns
CCDC88C	Tissue	BRN_CB_a	BRN_HYP	0	1.5628	-1.1343	4.2600	0.7600	ns
CCDC88C	Tissue	BRN_CB_a	BRN_NAC	0	13.8357	11.2163	16.4551	0.0000	****
CCDC88C	Tissue	BRN_CB_a	BRN_PTRY	0	6.3696	3.8467	8.8926	0.0000	****
CCDC88C	Tissue	BRN_CB_a	BRN_PUT	0	9.3897	6.6166	12.1629	0.0000	****
CCDC88C	Tissue	BRN_CB_a	BRN_SN	0	0.1744	-2.9569	3.3057	1.0000	ns
CCDC88C	Tissue	BRN_CB_a	BRN_SPC	0	1.9826	-0.7701	4.7354	0.4350	ns
CCDC88C	Tissue	BRN_CTX_a	BRN_HIPP	0	-0.0813	-2.8223	2.6597	1.0000	ns
CCDC88C	Tissue	BRN_CTX_a	BRN_HYP	0	0.8820	-1.7820	3.5461	0.9950	ns
CCDC88C	Tissue	BRN_CTX_a	BRN_NAC	0	13.1549	10.5696	15.7402	0.0000	****
CCDC88C	Tissue	BRN_CTX_a	BRN_PTRY	0	5.6888	3.2013	8.1764	0.0000	****
CCDC88C	Tissue	BRN_CTX_a	BRN_PUT	0	8.7089	5.9680	11.4499	0.0000	****
CCDC88C	Tissue	BRN_CTX_a	BRN_SN	0	-0.5064	-3.6092	2.5964	1.0000	ns
CCDC88C	Tissue	BRN_CTX_a	BRN_SPC	0	1.3018	-1.4185	4.0222	0.9200	ns
CCDC88C	Tissue	BRN_HIPP	BRN_HYP	0	0.9634	-1.8098	3.7365	0.9930	ns
CCDC88C	Tissue	BRN_HIPP	BRN_NAC	0	13.2362	10.5386	15.9338	0.0000	****
CCDC88C	Tissue	BRN_HIPP	BRN_PTRY	0	5.7701	3.1661	8.3742	0.0000	****
CCDC88C	Tissue	BRN_HIPP	BRN_PUT	0	8.7902	5.9431	11.6374	0.0000	****
CCDC88C	Tissue	BRN_HIPP	BRN_SN	0	-0.4251	-3.6221	2.7719	1.0000	ns
CCDC88C	Tissue	BRN_HIPP	BRN_SPC	0	1.3832	-1.4441	4.2104	0.9080	ns
CCDC88C	Tissue	BRN_HYP	BRN_NAC	0	12.2729	9.6534	14.8923	0.0000	****
CCDC88C	Tissue	BRN_HYP	BRN_PTRY	0	4.8068	2.2838	7.3297	0.0000	****
CCDC88C	Tissue	BRN_HYP	BRN_PUT	0	7.8269	5.0537	10.6000	0.0000	****
CCDC88C	Tissue	BRN_HYP	BRN_SN	0	-1.3885	-4.5197	1.7428	0.9520	ns
CCDC88C	Tissue	BRN_HYP	BRN_SPC	0	0.4198	-2.3330	3.1726	1.0000	ns
CCDC88C	Tissue	BRN_NAC	BRN_PTRY	0	-7.4661	-9.9057	-5.0264	0.0000	****
CCDC88C	Tissue	BRN_NAC	BRN_PUT	0	-4.4460	-7.1436	-1.7484	0.0000	****
CCDC88C	Tissue	BRN_NAC	BRN_SN	0	-13.6613	-16.7259	-10.5967	0.0000	****
CCDC88C	Tissue	BRN_NAC	BRN_SPC	0	-11.8531	-14.5297	-9.1764	0.0000	****
CCDC88C	Tissue	BRN_PTRY	BRN_PUT	0	3.0201	0.4161	5.6241	0.0085	**
CCDC88C	Tissue	BRN_PTRY	BRN_SN	0	-6.1952	-9.1778	-3.2127	0.0000	****
CCDC88C	Tissue	BRN_PTRY	BRN_SPC	0	-4.3870	-6.9693	-1.8046	0.0000	****
CCDC88C	Tissue	BRN_PUT	BRN_SN	0	-9.2153	-12.4123	-6.0184	0.0000	****
CCDC88C	Tissue	BRN_PUT	BRN_SPC	0	-7.4071	-10.2344	-4.5798	0.0000	****
CCDC88C	Tissue	BRN_SN	BRN_SPC	0	1.8083	-1.3711	4.9876	0.7810	ns
EGR2	Tissue	BRN_ACC	BRN_AMY	0	0.1277	-5.1099	5.3653	1.0000	ns
EGR2	Tissue	BRN_ACC	BRN_CAU	0	1.9283	-2.9015	6.7581	0.9780	ns
EGR2	Tissue	BRN_ACC	BRN_CB_a	0	0.6168	-4.2941	5.5276	1.0000	ns
EGR2	Tissue	BRN_ACC	BRN_CTX_a	0	0.6425	-4.2131	5.4981	1.0000	ns
EGR2	Tissue	BRN_ACC	BRN_HIPP	0	0.8811	-4.1567	5.9189	1.0000	ns
EGR2	Tissue	BRN_ACC	BRN_HYP	0	0.4230	-4.4878	5.3338	1.0000	ns
EGR2	Tissue	BRN_ACC	BRN_NAC	0	1.2948	-3.4864	6.0761	0.9990	ns
EGR2	Tissue	BRN_ACC	BRN_PTRY	0	11.6817	7.0607	16.3026	0.0000	****
EGR2	Tissue	BRN_ACC	BRN_PUT	0	1.5166	-3.5212	6.5544	0.9980	ns
EGR2	Tissue	BRN_ACC	BRN_SN	0	-0.2788	-5.9185	5.3608	1.0000	ns
EGR2	Tissue	BRN_ACC	BRN_SPC	0	1.0733	-3.9304	6.0771	1.0000	ns
EGR2	Tissue	BRN_AMY	BRN_CAU	0	1.8006	-3.1626	6.7638	0.9900	ns
EGR2	Tissue	BRN_AMY	BRN_CB_a	0	0.4891	-4.5530	5.5311	1.0000	ns
EGR2	Tissue	BRN_AMY	BRN_CTX_a	0	0.5148	-4.4735	5.5031	1.0000	ns
EGR2	Tissue	BRN_AMY	BRN_HIPP	0	0.7534	-4.4124	5.9193	1.0000	ns
EGR2	Tissue	BRN_AMY	BRN_HYP	0	0.2953	-4.7468	5.3374	1.0000	ns
EGR2	Tissue	BRN_AMY	BRN_NAC	0	1.1671	-3.7488	6.0831	1.0000	ns
EGR2	Tissue	BRN_AMY	BRN_PTRY	0	11.5540	6.7938	16.3141	0.0000	****
EGR2	Tissue	BRN_AMY	BRN_PUT	0	1.3889	-3.7769	6.5548	0.9990	ns
EGR2	Tissue	BRN_AMY	BRN_SN	0	-0.4065	-6.1608	5.3478	1.0000	ns
EGR2	Tissue	BRN_AMY	BRN_SPC	0	0.9457	-4.1870	6.0783	1.0000	ns
EGR2	Tissue	BRN_CAU	BRN_CB_a	0	-1.3115	-5.9286	3.3055	0.9990	ns
EGR2	Tissue	BRN_CAU	BRN_CTX_a	0	-1.2858	-5.8441	3.2725	0.9990	ns
EGR2	Tissue	BRN_CAU	BRN_HIPP	0	-1.0472	-5.7990	3.7047	1.0000	ns
EGR2	Tissue	BRN_CAU	BRN_HYP	0	-1.5053	-6.1223	3.1118	0.9960	ns
EGR2	Tissue	BRN_CAU	BRN_NAC	0	-0.6335	-5.1124	3.8455	1.0000	ns
EGR2	Tissue	BRN_CAU	BRN_PTRY	0	9.7534	5.4460	14.0608	0.0000	****
EGR2	Tissue	BRN_CAU	BRN_PUT	0	-0.4117	-5.1635	4.3402	1.0000	ns
EGR2	Tissue	BRN_CAU	BRN_SN	0	-2.2071	-7.5928	3.1787	0.9730	ns
EGR2	Tissue	BRN_CAU	BRN_SPC	0	-0.8549	-5.5707	3.8608	1.0000	ns
EGR2	Tissue	BRN_CB_a	BRN_CTX_a	0	0.0257	-4.6183	4.6698	1.0000	ns
EGR2	Tissue	BRN_CB_a	BRN_HIPP	0	0.2644	-4.5699	5.0986	1.0000	ns
EGR2	Tissue	BRN_CB_a	BRN_HYP	0	-0.1937	-4.8955	4.5080	1.0000	ns
EGR2	Tissue	BRN_CB_a	BRN_NAC	0	0.6781	-3.8882	5.2443	1.0000	ns
EGR2	Tissue	BRN_CB_a	BRN_PTRY	0	11.0649	6.6668	15.4630	0.0000	****
EGR2	Tissue	BRN_CB_a	BRN_PUT	0	0.8999	-3.9344	5.7341	1.0000	ns
EGR2	Tissue	BRN_CB_a	BRN_SN	0	-0.8956	-6.3541	4.5630	1.0000	ns
EGR2	Tissue	BRN_CB_a	BRN_SPC	0	0.4566	-4.3421	5.2553	1.0000	ns
EGR2	Tissue	BRN_CTX_a	BRN_HIPP	0	0.2386	-4.5395	5.0168	1.0000	ns
EGR2	Tissue	BRN_CTX_a	BRN_HYP	0	-0.2195	-4.8636	4.4246	1.0000	ns
EGR2	Tissue	BRN_CTX_a	BRN_NAC	0	0.6523	-3.8545	5.1591	1.0000	ns
EGR2	Tissue	BRN_CTX_a	BRN_PTRY	0	11.0392	6.7028	15.3755	0.0000	****
EGR2	Tissue	BRN_CTX_a	BRN_PUT	0	0.8741	-3.9040	5.6523	1.0000	ns
EGR2	Tissue	BRN_CTX_a	BRN_SN	0	-0.9213	-6.3303	4.4876	1.0000	ns
EGR2	Tissue	BRN_CTX_a	BRN_SPC	0	0.4308	-4.3114	5.1731	1.0000	ns
EGR2	Tissue	BRN_HIPP	BRN_HYP	0	-0.4581	-5.2923	4.3761	1.0000	ns
EGR2	Tissue	BRN_HIPP	BRN_NAC	0	0.4137	-4.2888	5.1162	1.0000	ns
EGR2	Tissue	BRN_HIPP	BRN_PTRY	0	10.8005	6.2611	15.3400	0.0000	****
EGR2	Tissue	BRN_HIPP	BRN_PUT	0	0.6355	-4.3277	5.5987	1.0000	ns
EGR2	Tissue	BRN_HIPP	BRN_SN	0	-1.1599	-6.7330	4.4131	1.0000	ns
EGR2	Tissue	BRN_HIPP	BRN_SPC	0	0.1922	-4.7364	5.1208	1.0000	ns
EGR2	Tissue	BRN_HYP	BRN_NAC	0	0.8718	-3.6944	5.4381	1.0000	ns
EGR2	Tissue	BRN_HYP	BRN_PTRY	0	11.2587	6.8606	15.6568	0.0000	****
EGR2	Tissue	BRN_HYP	BRN_PUT	0	1.0936	-3.7406	5.9278	1.0000	ns
EGR2	Tissue	BRN_HYP	BRN_SN	0	-0.7018	-6.1604	4.7567	1.0000	ns
EGR2	Tissue	BRN_HYP	BRN_SPC	0	0.6503	-4.1484	5.4491	1.0000	ns
EGR2	Tissue	BRN_NAC	BRN_PTRY	0	10.3868	6.1339	14.6397	0.0000	****
EGR2	Tissue	BRN_NAC	BRN_PUT	0	0.2218	-4.4807	4.9243	1.0000	ns
EGR2	Tissue	BRN_NAC	BRN_SN	0	-1.5736	-6.9159	3.7686	0.9980	ns
EGR2	Tissue	BRN_NAC	BRN_SPC	0	-0.2215	-4.8875	4.4445	1.0000	ns
EGR2	Tissue	BRN_PTRY	BRN_PUT	0	-10.1650	-14.7045	-5.6256	0.0000	****
