Original Gene ID	Gene.Name	Chr	Start	End	Strand	Length	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSRNOG00000015997	Ccdc106	1	68779882	68786846	-	6965	-0.3913	2.1053	-1.003527776	0.339381582	0.872504576	-5.028021476
ENSRNOG00000067564		1	66756308	66758905	-	2598	0.3740	1.4785	0.8821864	0.398482749	0.890629883	-5.028485363
ENSRNOG00000015239	Ginm1	1	2246394	2262217	-	15824	0.3409	3.4117	1.233751063	0.245638141	0.81392335	-5.029047131
ENSRNOG00000015525	Zswim3	3	153542743	153558018	+	15276	0.3392	3.2280	1.20384999	0.256499577	0.820798647	-5.029226012
ENSRNOG00000019497	Mrpl17	1	160158807	160163815	-	5009	0.3142	3.9415	1.321221999	0.215997076	0.789322648	-5.029288811
ENSRNOG00000009267	B3gnt2	14	96806664	96835273	-	28610	-0.3603	4.0389	-1.333597984	0.212052914	0.788866311	-5.029751854
ENSRNOG00000059008	Socs7	10	82351680	82388830	+	37151	-0.3360	4.9350	-1.458974226	0.175401025	0.767374657	-5.029843933
ENSRNOG00000015967		5	146354152	146355331	-	1180	0.3867	2.9488	1.157231467	0.274198039	0.83429638	-5.030213005
ENSRNOG00000030180	Lrrc10b	1	207022919	207098045	-	75127	-0.4951	4.9696	-1.453932709	0.176762774	0.768026143	-5.030908126
ENSRNOG00000059442	Pde12	16	1915386	1925887	-	10502	0.3250	3.7735	1.291786318	0.225623508	0.798116732	-5.030921833
ENSRNOG00000032136	Cdc42ep3	6	15708730	15732721	+	23992	-0.2986	4.3801	-1.386250242	0.195940375	0.773887605	-5.031894843
ENSRNOG00000026260	Rpl11	5	148274069	148277599	-	3531	0.3443	4.8792	1.455346319	0.176380032	0.767975132	-5.031971847
ENSRNOG00000064002		2	5268578	5270273	-	1696	-0.3494	0.6422	-0.667473318	0.519646568	0.919444389	-5.031987712
ENSRNOG00000053761	AABR07065532.5	6	128698823	128698888	+	66	-0.2795	0.0079	-0.453397549	0.659987868	0.948907876	-5.032293666
ENSRNOG00000017690	Ccsap	19	51826994	51842753	-	15760	-0.3595	3.5854	-1.256259502	0.237710302	0.807987551	-5.032549351
ENSRNOG00000000505	Rpl10a	20	6385823	6391357	+	5535	0.3433	3.4747	1.240529586	0.243228355	0.813665716	-5.032748288
ENSRNOG00000008212	Wdr5	3	10837025	10856671	+	19647	-0.3388	3.5098	-1.243707601	0.242105189	0.81320472	-5.032904665
ENSRNOG00000017895	Eno1	5	160719951	160731336	+	11386	0.3063	4.3262	1.381264581	0.197420442	0.776053476	-5.033596802
ENSRNOG00000028017	Tmem109	1	207519624	207530215	-	10592	-0.3753	2.4302	-1.057870159	0.315115871	0.860993518	-5.033836494
ENSRNOG00000063641	SNORD115	1	110197442	110197520	-	79	-0.3038	0.1948	-0.510896068	0.620565084	0.940759546	-5.035041251
ENSRNOG00000068604		6	128629093	128629186	+	94	-0.0249	-0.4921	-0.036964674	0.971244123	0.998817606	-5.036089183
ENSRNOG00000014132	Mypop	1	78639769	78650552	+	10784	-0.4142	2.6061	-1.086373117	0.302925904	0.85680617	-5.036168043
ENSRNOG00000063602		1	181056899	181057988	-	1090	-0.0305	-0.5222	-0.046075276	0.964161697	0.998817606	-5.036193269
ENSRNOG00000001274	Vps29	12	34207263	34217964	-	10702	-0.3590	3.8907	-1.303026381	0.221906565	0.795771953	-5.036344805
ENSRNOG00000003981	Zfp18	10	50473483	50495706	+	22224	0.3402	3.6466	1.265446077	0.234535175	0.806599883	-5.036419674
ENSRNOG00000000461	Brd2	20	4728151	4735388	+	7238	0.3119	4.2512	1.366538108	0.201847485	0.776987293	-5.03657234
ENSRNOG00000062272		17	15242592	15243105	+	514	0.0687	-0.4503	0.104278683	0.91901979	0.992157918	-5.036741604
ENSRNOG00000051433	Pcgf1	4	115583867	115587008	+	3142	0.3608	1.0142	0.763127603	0.463092955	0.904625211	-5.036914985
ENSRNOG00000047574	Nrxn3	6	107641780	109272044	+	1630265	-0.3671	12.4113	-1.109619979	0.293254776	0.853704018	-5.037095721
ENSRNOG00000001424	Cux1	12	20107311	20425866	+	318556	-0.2847	7.8361	-1.442830151	0.17979376	0.771289173	-5.037101587
ENSRNOG00000028155	Dnaaf2	6	87660821	87670199	-	9379	-0.3698	2.3327	-1.037188331	0.324191819	0.866477507	-5.037288053
ENSRNOG00000029608	Nkain2	1	24669462	25877064	+	1207603	-0.3534	12.6994	-1.086410961	0.302909963	0.85680617	-5.038409548
ENSRNOG00000007769	Marchf2	7	14481761	14507794	-	26034	0.3364	3.9648	1.315344983	0.217891325	0.791524593	-5.040223048
ENSRNOG00000017945	Serf1	2	31475703	31482032	+	6330	0.3671	1.7784	0.927676395	0.375526072	0.888093254	-5.040229192
ENSRNOG00000063680		10	91012772	91015516	-	2745	-0.3370	0.3115	-0.545066325	0.597710002	0.933386676	-5.040408961
ENSRNOG00000002214	Klhl8	14	5807907	5853294	+	45388	-0.2974	4.5768	-1.407464474	0.189747322	0.773006503	-5.040756693
ENSRNOG00000047628	Khsrp	9	1862899	1872451	-	9553	-0.4448	2.3099	-1.026229197	0.329080236	0.867553613	-5.041054837
ENSRNOG00000068901	SNORD115	1	110305181	110305258	-	78	-0.3563	1.0719	-0.764611924	0.462247531	0.904625211	-5.041261801
ENSRNOG00000006681	Rdh10	5	3188445	3215572	-	27128	-0.3063	4.1233	-1.337468615	0.21083177	0.787874223	-5.041863241
ENSRNOG00000010960	Ankh	2	78153026	78280187	+	127162	-0.2748	7.1678	-1.474902306	0.171158016	0.766009951	-5.042569503
ENSRNOG00000011451	Lrp3	1	87844868	87859110	-	14243	0.3418	3.1186	1.172282737	0.268381001	0.830766641	-5.042910243
ENSRNOG00000065998		X	32891490	32892962	+	1473	0.3753	1.4525	0.855292503	0.412506439	0.891382402	-5.042948564
ENSRNOG00000071020		13	22169895	22175374	-	5480	-0.3574	2.2611	-1.01303464	0.335038793	0.869617254	-5.043945201
ENSRNOG00000033076	Thnsl1	17	83714738	83723805	+	9068	0.3571	2.2429	1.014337483	0.334446884	0.869617254	-5.044380741
ENSRNOG00000025528	Efr3a	7	97552677	97633369	+	80693	0.3021	5.7025	1.500099167	0.164627327	0.759853419	-5.04443946
ENSRNOG00000066914		19	11220715	11225732	+	5018	-0.3604	1.3235	-0.818929161	0.431999699	0.895070546	-5.044585352
ENSRNOG00000005335	Galnt13	3	38974490	39558803	+	584314	-0.3153	9.9370	-1.285615366	0.227685913	0.800045759	-5.045240371
ENSRNOG00000011944	Snx10	4	80612669	80676996	+	64328	0.2681	5.8685	1.501532814	0.164262342	0.759853419	-5.046379768
ENSRNOG00000033271	AABR07048271.1	5	67671721	67680926	+	9206	0.3086	4.0090	1.31711754	0.217318555	0.791383011	-5.046696943
ENSRNOG00000053599	Pogz	2	182380768	182440707	+	59940	-0.2711	6.4244	-1.49547612	0.165809092	0.759853419	-5.047790965
ENSRNOG00000062784		1	182082381	182083953	+	1573	0.2666	0.1482	0.461150269	0.654604529	0.948166296	-5.04802725
ENSRNOG00000027066	Stk32a	18	35259052	35369451	+	110400	-0.2992	6.0024	-1.497466543	0.16529939	0.759853419	-5.049106672
ENSRNOG00000004196	Rps29	6	87635230	87636636	-	1407	-0.3665	2.3308	-1.01935618	0.332174069	0.868838212	-5.049244893
ENSRNOG00000046660	Gpc6	15	94029884	95024006	+	994123	-0.3305	9.3548	-1.325293737	0.214692744	0.788866311	-5.049367105
ENSRNOG00000049054	Ntsr2	6	39424324	39431014	+	6691	0.2976	4.5956	1.407616657	0.189703504	0.773006503	-5.049769508
ENSRNOG00000004269	Myt1l	6	46428150	46561671	+	133522	-0.2898	8.3465	-1.397860837	0.192529992	0.773006503	-5.050233663
ENSRNOG00000012629	Rab23	9	35944085	35966927	+	22843	0.3126	4.3450	1.369888549	0.200832994	0.776987293	-5.050344548
ENSRNOG00000027645	Syndig1l	6	104323424	104344891	-	21468	-0.5337	4.4281	-1.37222016	0.200129537	0.776987293	-5.050351285
ENSRNOG00000016128	Lrrc14	7	108430792	108437111	+	6320	-0.3638	2.2389	-1.002407221	0.339896197	0.872504576	-5.050419017
ENSRNOG00000027355	Wdr36	18	24473663	24508092	+	34430	-0.2933	4.7416	-1.420856697	0.185924122	0.773006503	-5.050649238
ENSRNOG00000067963		17	49435384	49437561	-	2178	-0.3661	2.2982	-1.011829911	0.335586821	0.870076195	-5.05219274
ENSRNOG00000007766	Pqbp1	X	14603539	14608087	+	4549	-0.3956	2.5619	-1.060101823	0.31414817	0.860758882	-5.052687596
ENSRNOG00000008345	Clcn6	5	158434299	158465059	-	30761	0.3013	4.1843	1.341251551	0.209643978	0.786748483	-5.052905452
ENSRNOG00000024998	Trps1	7	81921601	82141905	-	220305	-0.2958	8.7395	-1.367537536	0.201544414	0.776987293	-5.053000989
ENSRNOG00000005993	Oxsm	15	9210547	9214558	+	4012	0.3565	1.3259	0.810378374	0.436671945	0.895070546	-5.053298134
ENSRNOG00000004574	Ofd1	X	28015347	28056110	+	40764	0.3054	5.3317	1.477470245	0.170482325	0.766009951	-5.053546479
ENSRNOG00000021053	Lsr	1	86186431	86201952	-	15522	0.3334	3.1653	1.169050509	0.269621876	0.830766641	-5.053842942
ENSRNOG00000068647		15	96066556	96068581	-	2026	-0.3293	3.3079	-1.188624184	0.262176726	0.824846528	-5.055121667
ENSRNOG00000001628	Pcp4	11	35800713	35861725	+	61013	-0.4422	6.5759	-1.484746123	0.16858038	0.764787926	-5.055428328
ENSRNOG00000008984	Irak1bp1	8	83731507	83748289	+	16783	-0.3084	4.4744	-1.380052706	0.197781629	0.776053476	-5.055493958
ENSRNOG00000016550	Dclk2	2	172208706	172338250	-	129545	-0.2725	7.1170	-1.466297976	0.173438942	0.766882297	-5.056080803
ENSRNOG00000005298	Zfp513	6	25174178	25177439	+	3262	-0.3387	0.9297	-0.700274176	0.499798827	0.911825778	-5.056515173
ENSRNOG00000006077	Snx5	3	131621880	131641192	-	19313	0.3162	5.2546	1.469070875	0.172701022	0.766844663	-5.056643158
ENSRNOG00000018414	Csf1r	18	54546659	54590415	+	43757	0.3031	4.9764	1.446941652	0.178666157	0.771128653	-5.056931963
ENSRNOG00000060010	Ss18l1	3	167143994	167165253	+	21260	-0.3652	4.0584	-1.311536471	0.219126218	0.792942639	-5.057535587
ENSRNOG00000063097		2	183414511	183415673	-	1163	0.3515	1.0112	0.726364538	0.484348482	0.906864384	-5.057574832
ENSRNOG00000018556	Tomm40	1	79358786	79370915	-	12130	0.3412	2.7942	1.101261028	0.296704368	0.855086341	-5.058048692
ENSRNOG00000059348	Ube2b	10	36248438	36264665	-	16228	-0.2756	6.9438	-1.47070414	0.172267651	0.76630519	-5.059417943
ENSRNOG00000021289	Rbbp5	13	43912254	43939107	+	26854	-0.3007	4.3807	-1.362417471	0.203101103	0.776987293	-5.060146711
ENSRNOG00000071112		10	88074662	88076733	+	2072	0.2661	0.2774	0.478171379	0.642858353	0.945363968	-5.060864462
ENSRNOG00000004359	Wars1	6	127776090	127807269	-	31180	0.2790	5.3221	1.47070643	0.172267043	0.76630519	-5.061355086
ENSRNOG00000014777	Prpf4	5	75859924	75873919	+	13996	0.3366	3.0815	1.146819985	0.278279833	0.838221025	-5.061676191
ENSRNOG00000042283	Zfp267	2	119017285	119031900	+	14616	0.3178	3.6795	1.246952289	0.240962814	0.81320472	-5.061854782
ENSRNOG00000027026	Jazf1	4	81881061	82183100	-	302040	-0.2933	8.0921	-1.405672432	0.190263958	0.773006503	-5.06186609
ENSRNOG00000009015	Nfx1	5	56105234	56162912	+	57679	-0.3019	5.7014	-1.483948018	0.168788106	0.765201472	-5.061913788
ENSRNOG00000055756	Bcap31	X	151397576	151428506	-	30931	-0.3013	4.3565	-1.356443134	0.204930298	0.781021907	-5.062751889
ENSRNOG00000006989	Vamp2	10	53793923	53797809	+	3887	0.3251	6.7001	1.476216158	0.170812019	0.766009951	-5.063421589
ENSRNOG00000003348	Rasd1	10	44766455	44768186	-	1732	-0.2029	0.0303	-0.341136205	0.740093624	0.965410412	-5.063731814
ENSRNOG00000006472	Hspa2	6	95128350	95131287	+	2938	0.3647	1.1592	0.752538217	0.46915322	0.904774112	-5.06406703
ENSRNOG00000015304	Tmem160	1	77164448	77167156	+	2709	-0.3031	0.3099	-0.479601685	0.641875935	0.945363968	-5.064132685
ENSRNOG00000064817	SNORD115	1	110308960	110309037	-	78	0.1818	-0.0469	0.301661542	0.769119345	0.970376885	-5.064527512
ENSRNOG00000056398	AABR07036855.1	X	4032895	4033896	+	1002	-0.1454	-0.1130	-0.23839355	0.816412713	0.979975724	-5.06472724
ENSRNOG00000066498		7	121340990	121345516	+	4527	-0.3025	4.4659	-1.370907637	0.200525275	0.776987293	-5.064898666
ENSRNOG00000019552	Lsm7	7	8856489	8859119	+	2631	-0.3134	0.2615	-0.457695505	0.657000909	0.948402173	-5.064983659
ENSRNOG00000007433	Cyb561	10	90878054	90884787	-	6734	0.3734	1.7580	0.888603197	0.395186292	0.890564435	-5.065519272
ENSRNOG00000001989	Alcam	11	48336169	48537954	+	201786	-0.3106	9.9331	-1.266845109	0.234054691	0.80569554	-5.065933341
ENSRNOG00000067754		18	38996562	38997903	-	1342	-0.2811	0.4401	-0.522974918	0.612435705	0.939229953	-5.065990523
ENSRNOG00000012454	Trmt10b	5	59548869	59572526	+	23658	0.3107	3.8965	1.280311847	0.229470794	0.802453784	-5.066004586
ENSRNOG00000014833	Smndc1	1	252389673	252401616	-	11944	0.3273	3.2366	1.167843912	0.270086261	0.830766641	-5.066613351
ENSRNOG00000005512	Ndufa4	4	40002216	40023920	-	21705	0.2947	5.5902	1.472672544	0.171746602	0.76630519	-5.06692201
ENSRNOG00000020087	Zfp90	19	34321940	34333194	+	11255	0.3475	2.6469	1.0646375	0.312188364	0.860758882	-5.067038656
ENSRNOG00000005159	Fam135b	7	103386915	103649708	-	262794	-0.2736	7.3427	-1.445961949	0.178934294	0.771289173	-5.067743467
ENSRNOG00000050997	Ifrd1	6	57269384	57288990	-	19607	-0.3189	4.0033	-1.294304783	0.224786246	0.798116732	-5.068146637
ENSRNOG00000024798	Bora	15	75797891	75821322	+	23432	-0.3158	3.9522	-1.284763504	0.227971832	0.800549626	-5.068189359
ENSRNOG00000025940	Mettl9	1	175577890	175623061	+	45172	-0.2817	5.0210	-1.43660595	0.181512405	0.773006503	-5.069000874
ENSRNOG00000022635	Dlg2	1	144451472	146499475	+	2048004	-0.3431	12.5804	-1.059815596	0.314272159	0.860758882	-5.070300313
ENSRNOG00000011313	Sorcs1	1	249081355	249594507	-	513153	-0.3065	9.5748	-1.289853273	0.226267891	0.798116732	-5.070552098
ENSRNOG00000067162	RGD1559441	5	24722668	24787924	+	65257	-0.2740	5.1321	-1.445509796	0.179058161	0.771289173	-5.070745931
ENSRNOG00000054374	Smim29	20	5618845	5620813	-	1969	0.3869	1.8929	0.908887233	0.384891613	0.889437596	-5.071685476
ENSRNOG00000051056	AABR07063279.1	6	25077349	25080675	+	3327	0.3417	1.3245	0.781006534	0.452976079	0.902224441	-5.071691567
ENSRNOG00000012122	Clvs2	1	23735272	23842692	+	107421	-0.2703	6.1908	-1.479620573	0.169918296	0.765926125	-5.071964462
ENSRNOG00000016532	Ino80c	18	15378770	15393403	-	14634	0.3651	3.6537	1.232658013	0.24602853	0.81392335	-5.072743631
ENSRNOG00000025704	Yod1	13	42174820	42177205	+	2386	0.3372	1.0996	0.72182786	0.487013386	0.907754091	-5.072999617
ENSRNOG00000062731	Diras2	17	12725149	12761663	+	36515	-0.4252	6.1739	-1.47493331	0.171149844	0.766009951	-5.073670307
ENSRNOG00000068999		9	61736763	61743926	-	7164	-0.3120	3.9272	-1.275229258	0.231192102	0.802731523	-5.073995187
ENSRNOG00000003742	Cdkl5	X	33821257	33986582	+	165326	-0.3146	8.1389	-1.39200309	0.194244244	0.773006503	-5.07413545
ENSRNOG00000060723	AABR07071244.1	8	99161350	99185197	+	23848	0.2748	5.5567	1.472243248	0.171860123	0.76630519	-5.0741888
ENSRNOG00000001525	Igsf11	11	61733144	61868348	-	135205	-0.2781	7.5600	-1.428402496	0.183799063	0.773006503	-5.07468329
ENSRNOG00000012366	Mesd	1	137874242	137879999	+	5758	0.3274	3.3013	1.169563036	0.26942481	0.830766641	-5.075606357
ENSRNOG00000008169	Slc24a2	5	101502278	101739337	-	237060	0.2949	8.8757	1.337956139	0.210678379	0.787874223	-5.076283158
ENSRNOG00000065409		4	103376043	103378414	-	2372	0.2965	4.3982	1.353267698	0.205908159	0.783399135	-5.077270084
ENSRNOG00000008578	Cdk16	X	1492814	1504148	-	11335	0.2795	4.7007	1.398728534	0.192277159	0.773006503	-5.077432662
ENSRNOG00000010981	Gtf3c5	3	11893875	11914180	-	20306	0.3261	3.6859	1.232658929	0.246028203	0.81392335	-5.078097602
ENSRNOG00000001647	Ets2	11	35021596	35038319	+	16724	-0.3102	4.3064	-1.331601914	0.212684958	0.788866311	-5.07865564
ENSRNOG00000057284	Cenpb	3	118388546	118400470	-	11925	0.3380	2.5810	1.038511165	0.323605471	0.866477507	-5.079150292
ENSRNOG00000013090	Gadd45g	17	13376839	13378610	-	1772	-0.2129	0.0595	-0.280818455	0.784601077	0.973674513	-5.080612663
ENSRNOG00000068398	SNORD115	1	110311820	110311899	-	80	-0.1366	-0.0362	-0.208759641	0.838846678	0.980939002	-5.080683986
ENSRNOG00000021712	Rcbtb1	15	33319586	33365302	+	45717	0.2728	5.1621	1.443429156	0.1796291	0.771289173	-5.08118314
ENSRNOG00000018680	Rpl17	18	68581098	68584253	+	3156	0.2968	4.2529	1.32759668	0.213957933	0.788866311	-5.081553775
ENSRNOG00000060288		1	73774487	73776003	+	1517	0.1703	0.0444	0.278614182	0.786244275	0.973674513	-5.081702913
ENSRNOG00000011195	Prkra	3	61575447	61594347	-	18901	0.3854	3.4363	1.186331275	0.263040302	0.826100047	-5.081723327
ENSRNOG00000004200	Sybu	7	75847003	75948828	-	101826	-0.2692	6.9742	-1.450635092	0.177658398	0.770942395	-5.082785172
ENSRNOG00000071035		14	2664232	2665383	+	1152	-0.3515	1.3929	-0.775035903	0.456338457	0.902705895	-5.082800841
ENSRNOG00000000248	Srsf2	10	102052314	102055338	-	3025	-0.2753	5.2976	-1.446977615	0.178656321	0.771128653	-5.083066484
ENSRNOG00000062851		17	47090208	47092104	-	1897	0.2853	0.5413	0.52348531	0.612093399	0.939229953	-5.083081091
ENSRNOG00000029262	AABR07053166.1	3	91267220	91267774	-	555	-0.0287	-0.1185	-0.046900774	0.96352012	0.998817606	-5.083290298
ENSRNOG00000068660		7	61043675	61044761	-	1087	-0.2890	0.5796	-0.530276364	0.607548172	0.937502213	-5.083473355
ENSRNOG00000005457	Lamp5	3	123372462	123384952	+	12491	-0.3336	4.8460	-1.403379681	0.190926689	0.773006503	-5.083947268
ENSRNOG00000019228	Pik3r2	16	18665457	18674065	+	8609	-0.3748	2.0687	-0.92483542	0.37693165	0.888093254	-5.08406127
ENSRNOG00000012045	Adgrb3	9	27421168	28148855	-	727688	-0.3367	11.3437	-1.140660397	0.280717104	0.840022874	-5.084293244
ENSRNOG00000012860	Tmem184c	19	30345290	30361269	+	15980	0.2805	4.6600	1.386694565	0.195808929	0.773887605	-5.085267263
ENSRNOG00000033611		19	23075376	23076894	+	1519	-0.3543	1.7821	-0.861529473	0.40922436	0.891382402	-5.085578139
ENSRNOG00000051341	AABR07038849.1	X	58469935	58471623	-	1689	0.2036	0.1886	0.352696021	0.731671726	0.963663983	-5.086298947
ENSRNOG00000070411		3	65274032	65275043	-	1012	-0.0464	-0.0865	-0.07366392	0.942737357	0.996608063	-5.08649797
ENSRNOG00000069486		6	46173207	46175389	-	2183	-0.2949	0.5569	-0.518616674	0.615362639	0.939401991	-5.086870672
ENSRNOG00000065324		5	119058092	119125293	+	67202	-0.2877	6.3473	-1.46393923	0.174068789	0.767374657	-5.087155611
ENSRNOG00000033479	Pcdhb21	18	29218225	29221142	+	2918	0.3022	0.8398	0.612687665	0.553824335	0.923161082	-5.087872795
ENSRNOG00000029572	Apeh	8	108773794	108782933	-	9140	0.3305	2.8197	1.073180449	0.308522385	0.860339213	-5.087917066
ENSRNOG00000001440	Mdh2	12	20894262	20907271	-	13010	0.2921	5.8508	1.462333161	0.174498779	0.767374657	-5.088040159
ENSRNOG00000011295	Anapc2	3	8086462	8098178	+	11717	0.3289	2.9474	1.095737094	0.299001164	0.855730601	-5.088066356
ENSRNOG00000063731		13	51065016	51071594	-	6579	0.3446	3.1190	1.124808179	0.287066631	0.845139389	-5.088943362
ENSRNOG00000057756	Osbpl2	3	167210832	167256219	+	45388	-0.2803	4.8097	-1.397165728	0.19273274	0.773006503	-5.089266383
ENSRNOG00000018996	Phf7	16	6433537	6446911	-	13375	0.3353	3.5878	1.205005566	0.256072761	0.820171727	-5.089276575
ENSRNOG00000064716		10	68092746	68093870	+	1125	-0.0807	-0.0416	-0.134775718	0.895475998	0.987957988	-5.089318192
ENSRNOG00000017233	Mmachc	5	130166451	130172601	-	6151	0.3489	1.5693	0.81061892	0.436540049	0.895070546	-5.089853326
ENSRNOG00000000142	Plxdc2	17	79196369	79585282	+	388914	0.3442	7.9688	1.391109765	0.194506807	0.773006503	-5.090137556
ENSRNOG00000070783		5	16902062	16903139	-	1078	0.3405	1.6563	0.829408158	0.426319697	0.894834746	-5.090682842
ENSRNOG00000010349	Ghrl	4	146865712	146869621	-	3910	0.3462	2.2733	0.963321353	0.358208933	0.88229463	-5.090838924
ENSRNOG00000017017	Zbtb43	3	16744535	16763909	-	19375	-0.3134	3.6776	-1.216360512	0.251909049	0.818312454	-5.091319152
ENSRNOG00000018648	Mppe1	18	60763419	60781553	-	18135	-0.3069	4.4929	-1.352043112	0.206286309	0.783667349	-5.091368505
ENSRNOG00000005795	Aasdhppt	8	1452282	1463966	-	11685	0.3168	3.4181	1.173690371	0.267842019	0.830766641	-5.091449298
ENSRNOG00000065247		8	42629652	42631147	+	1496	0.3140	3.4797	1.184921155	0.26357252	0.826266633	-5.091487255
ENSRNOG00000013038	AABR07009572.1	2	101842122	101843690	+	1569	-0.1023	-0.0081	-0.16625139	0.871288163	0.984982672	-5.091972229
ENSRNOG00000025318	Scyl3	13	76278428	76301716	+	23289	-0.3171	3.5952	-1.200897242	0.25759278	0.821537037	-5.093816431
ENSRNOG00000018281	Uqcrfs1	17	33977921	33982479	+	4559	0.2984	4.1314	1.296031516	0.224213678	0.798116732	-5.093942827
ENSRNOG00000004793	Ncln	7	8211996	8221934	+	9939	-0.3370	2.9937	-1.093321458	0.300009862	0.855758902	-5.094142556
ENSRNOG00000047236	AABR07008066.2	2	41527707	41527895	+	189	0.3150	1.0205	0.660074149	0.524188154	0.919621074	-5.094153533
ENSRNOG00000026679	Scn4b	8	45446215	45462292	+	16078	-0.6472	4.5085	-1.33975441	0.21011339	0.787380223	-5.094892834
ENSRNOG00000018105	Thtpa	15	28567323	28571580	+	4258	0.3040	3.9149	1.256450459	0.237643946	0.807987551	-5.095567367
ENSRNOG00000019713	Wdr24	10	14843728	14848864	+	5137	0.3524	1.9026	0.879148624	0.400049987	0.890629883	-5.095644386
ENSRNOG00000003858	Atp6ap2	X	10183068	10210918	-	27851	0.2599	5.9740	1.465047489	0.173772609	0.767234689	-5.095784437
ENSRNOG00000037480	Ddx51	12	46011070	46016200	-	5131	0.3789	1.8515	0.865007297	0.407402047	0.891382402	-5.096611483
ENSRNOG00000019080	Hsd3b7	1	182412151	182415442	+	3292	0.3744	1.1090	0.680953303	0.511433249	0.916773697	-5.09664092
ENSRNOG00000069647		15	908691	1007927	+	99237	0.2615	6.3442	1.459457342	0.175271008	0.767374657	-5.097092017
ENSRNOG00000042886	Rps28	7	14607801	14609170	-	1370	0.2857	0.7066	0.545050566	0.59772044	0.933386676	-5.097640999
ENSRNOG00000061176	Nudt3	20	5634349	5686874	-	52526	-0.2679	5.4043	-1.440737604	0.180369995	0.77149967	-5.098035129
ENSRNOG00000000105	Cplx2	17	10222347	10293855	-	71509	-0.3311	6.3383	-1.457127451	0.175898799	0.767374657	-5.098239669
ENSRNOG00000068985		2	185280426	185284592	-	4167	0.3333	1.7159	0.830477746	0.425742785	0.894834746	-5.099155311
ENSRNOG00000031993	Prim1	7	431805	462526	+	30722	0.2893	4.3229	1.318606156	0.216838503	0.790770392	-5.099846071
ENSRNOG00000009625	Dpysl2	15	41005551	41111829	-	106279	0.2793	7.8113	1.392845968	0.193996784	0.773006503	-5.10051462
ENSRNOG00000000170	Slc30a4	3	109753273	109775306	-	22034	0.2745	5.0543	1.417220127	0.18695573	0.773006503	-5.100687409
ENSRNOG00000019785	Phtf1	2	191473130	191512078	+	38949	-0.2672	5.2299	-1.428525515	0.183764591	0.773006503	-5.100811782
ENSRNOG00000020970	Rundc3a	10	87352646	87361765	+	9120	-0.3334	4.0893	-1.275764137	0.231010458	0.802493054	-5.101030238
ENSRNOG00000020279	Syt11	2	174206191	174231964	-	25774	0.2683	7.1706	1.42828444	0.183832149	0.773006503	-5.101258266
ENSRNOG00000008790	Gdap1l1	3	152110253	152128711	+	18459	0.3082	3.7890	1.228085564	0.247667057	0.814279086	-5.102080532
ENSRNOG00000011280	Mllt3	5	102260011	102515361	-	255351	-0.2792	8.2403	-1.361051725	0.203518045	0.777725763	-5.102549204
ENSRNOG00000040384	Mir770	6	128515835	128515928	+	94	0.1854	0.2745	0.33324055	0.745866872	0.967106086	-5.102918552
ENSRNOG00000047088	Rab10	6	26266859	26320193	-	53335	0.2682	7.0473	1.432378717	0.182687656	0.773006503	-5.103017086
ENSRNOG00000020513	Becn1	10	86231388	86246742	-	15355	-0.3087	3.7289	-1.214116107	0.252727692	0.818312454	-5.103228886
ENSRNOG00000013963	Il6st	2	44066130	44109936	+	43807	0.2719	5.7071	1.454587795	0.176585317	0.767975132	-5.103249019
ENSRNOG00000062791	SNORD115	1	110313740	110313816	-	77	0.1729	0.2403	0.307867862	0.764529591	0.969756147	-5.103266977
ENSRNOG00000009271	Smarca4	8	20167717	20258975	+	91259	-0.2644	6.5070	-1.449327563	0.178014598	0.770942395	-5.103531309
ENSRNOG00000023577	Gigyf2	9	88001301	88125715	+	124415	-0.2658	7.1941	-1.424112026	0.18500479	0.773006503	-5.103535103
ENSRNOG00000005184	Nop10	3	99066857	99067942	+	1086	0.2387	0.4913	0.445254865	0.665663996	0.950798213	-5.10364714
ENSRNOG00000017154	Atp11a	16	76657752	76767640	-	109889	0.2660	6.0575	1.458419928	0.175550301	0.767374657	-5.103892511
ENSRNOG00000032112	AY172581.14	MT	2665	2739	+	75	0.3478	1.7787	0.838287736	0.42154623	0.892863572	-5.104201703
ENSRNOG00000062505		13	83748213	83750994	+	2782	-0.2726	0.7343	-0.536662821	0.60328969	0.936166439	-5.104260394
ENSRNOG00000019908	Lamtor2	2	174008548	174013013	-	4466	-0.3497	1.7792	-0.833884284	0.423908885	0.894452974	-5.104333377
ENSRNOG00000065129		7	112465755	112467530	-	1776	-0.3319	2.3222	-0.950940866	0.364156873	0.882794679	-5.105020646
ENSRNOG00000066591		13	90071488	90072271	-	784	0.3215	3.6173	1.194709522	0.259895787	0.823261866	-5.105108068
ENSRNOG00000066445		12	28077660	28078131	-	472	-0.2460	0.5175	-0.446966582	0.66446893	0.950442561	-5.105479957
ENSRNOG00000064176		5	147650935	147654061	+	3127	-0.3527	2.3862	-0.96304109	0.358342794	0.88229463	-5.10576382
ENSRNOG00000068701		14	4224146	4226886	+	2741	-0.3585	3.0816	-1.095852495	0.298953041	0.855730601	-5.10578255
ENSRNOG00000004687	Thbd	3	135862835	135867193	-	4359	-0.3244	1.0867	-0.649857232	0.530497778	0.919621074	-5.106500435
