Human Gene Symbol	Tissue	Estimated Marginal Mean	Standard Error	DF	Lower Confidence Interval	Upper Confidence Interval	Group
TTLL1	BRN-SN	8.4168	0.8517	886	6.7451	10.0884	e
TTLL1	BRN-SPC	13.9702	0.6808	886	12.6340	15.3064	c
USP46	BRN-ACC	15.8529	0.7795	886	14.3230	17.3828	cd
USP46	BRN-AMY	16.5814	0.8176	886	14.9768	18.1860	cd
USP46	BRN-CAU	15.6368	0.6910	886	14.2807	16.9930	d
USP46	BRN-CB-a	31.3452	0.7171	886	29.9379	32.7525	a
USP46	BRN-CTX-a	20.9790	0.6994	886	19.6064	22.3516	b
USP46	BRN-HIPP	13.9523	0.7569	886	12.4667	15.4379	d
USP46	BRN-HYP	15.6885	0.7171	886	14.2812	17.0959	cd
USP46	BRN-NAC	14.4081	0.6751	886	13.0832	15.7331	d
USP46	BRN-PTRY	6.5092	0.6210	886	5.2904	7.7280	e
USP46	BRN-PUT	13.0586	0.7569	886	11.5730	14.5442	d
USP46	BRN-SN	13.5457	0.9337	886	11.7131	15.3783	d
USP46	BRN-SPC	19.0585	0.7463	886	17.5937	20.5233	bc
VIM	BRN-ACC	97.6102	34.6499	886	29.6046	165.6157	b
VIM	BRN-AMY	120.1687	36.3412	886	48.8439	191.4935	b
VIM	BRN-CAU	150.6940	30.7139	886	90.4136	210.9745	b
VIM	BRN-CB-a	19.0300	31.8733	886	-43.5260	81.5860	b
VIM	BRN-CTX-a	93.9115	31.0862	886	32.9003	154.9226	b
VIM	BRN-HIPP	105.6223	33.6454	886	39.5883	171.6562	b
VIM	BRN-HYP	68.9890	31.8733	886	6.4330	131.5450	b
VIM	BRN-NAC	143.0034	30.0077	886	84.1089	201.8979	b
VIM	BRN-PTRY	430.1347	27.6031	886	375.9596	484.3098	a
VIM	BRN-PUT	105.6169	33.6454	886	39.5829	171.6508	b
VIM	BRN-SN	57.1613	41.5045	886	-24.2974	138.6200	b
VIM	BRN-SPC	160.5081	33.1748	886	95.3977	225.6184	b
